"","country","date","cases","recovered","deaths","active_cases","day","month","y2019","y2020","flights"
"1","Canada",2020-01-22,0,0,0,0,22,1,1683,1641,1.02559414990859
"2","Canada",2020-01-23,0,0,0,0,23,1,1642,1717,0.956319161327898
"3","Canada",2020-01-24,0,0,0,0,24,1,1710,1781,0.960134755755194
"4","Canada",2020-01-25,0,0,0,0,25,1,1853,1686,1.09905100830368
"5","Canada",2020-01-26,1,0,0,1,26,1,1769,1696,1.04304245283019
"6","Canada",2020-01-27,1,0,0,1,27,1,1788,1675,1.06746268656716
"7","Canada",2020-01-28,2,0,0,2,28,1,1591,1613,0.986360818350899
"8","Canada",2020-01-29,2,0,0,2,29,1,1557,1648,0.944781553398058
"9","Canada",2020-01-30,2,0,0,2,30,1,1624,1703,0.953611274221961
"10","Canada",2020-01-31,4,0,0,4,31,1,1660,1782,0.931537598204265
"11","Canada",2020-02-01,4,0,0,4,1,2,1875,1701,1.10229276895944
"12","Canada",2020-02-02,4,0,0,4,2,2,1809,1651,1.09569957601454
"13","Canada",2020-02-03,4,0,0,4,3,2,1674,1716,0.975524475524476
"14","Canada",2020-02-04,4,0,0,4,4,2,1761,1628,1.08169533169533
"15","Canada",2020-02-05,5,0,0,5,5,2,1723,1643,1.04869141813755
"16","Canada",2020-02-06,5,0,0,5,6,2,1542,1707,0.903339191564148
"17","Canada",2020-02-07,7,0,0,7,7,2,1704,1622,1.05055487053021
"18","Canada",2020-02-08,7,0,0,7,8,2,1839,1706,1.07796014067995
"19","Canada",2020-02-09,7,0,0,7,9,2,1748,1642,1.06455542021924
"20","Canada",2020-02-10,7,0,0,7,10,2,1853,1697,1.09192692987625
"21","Canada",2020-02-11,7,0,0,7,11,2,1567,1657,0.945684972842486
"22","Canada",2020-02-12,7,1,0,6,12,2,1432,1697,0.843842074248674
"23","Canada",2020-02-13,7,1,0,6,13,2,1502,1660,0.904819277108434
"24","Canada",2020-02-14,7,1,0,6,14,2,1816,1830,0.992349726775956
"25","Canada",2020-02-15,7,1,0,6,15,2,1926,1737,1.10880829015544
"26","Canada",2020-02-16,7,1,0,6,16,2,1878,1665,1.12792792792793
"27","Canada",2020-02-17,8,1,0,7,17,2,1728,1787,0.966983771684387
"28","Canada",2020-02-18,8,1,0,7,18,2,1839,1654,1.11185006045949
"29","Canada",2020-02-19,8,1,0,7,19,2,1833,1699,1.0788699234844
"30","Canada",2020-02-20,8,1,0,7,20,2,1663,1754,0.94811858608894
"31","Canada",2020-02-21,9,3,0,6,21,2,1812,1832,0.989082969432314
"32","Canada",2020-02-22,9,3,0,6,22,2,1983,1768,1.12160633484163
"33","Canada",2020-02-23,9,3,0,6,23,2,1895,1705,1.11143695014663
"34","Canada",2020-02-24,10,3,0,7,24,2,1752,1743,1.00516351118761
"35","Canada",2020-02-25,11,3,0,8,25,2,1748,1665,1.04984984984985
"36","Canada",2020-02-26,11,3,0,8,26,2,1826,1625,1.12369230769231
"37","Canada",2020-02-27,13,6,0,7,27,2,1718,1560,1.10128205128205
"38","Canada",2020-02-28,14,6,0,8,28,2,1909,1805,1.05761772853186
"39","Canada",2020-02-29,20,6,0,14,NA,NA,NA,NA,NA
"40","Canada",2020-03-01,24,6,0,18,1,3,2028,1797,1.12854757929883
"41","Canada",2020-03-02,27,6,0,21,2,3,2163,1780,1.21516853932584
"42","Canada",2020-03-03,30,6,0,24,3,3,1872,1681,1.11362284354551
"43","Canada",2020-03-04,33,6,0,27,4,3,1817,1694,1.07260920897285
"44","Canada",2020-03-05,37,6,0,31,5,3,1825,1746,1.04524627720504
"45","Canada",2020-03-06,49,6,0,43,6,3,1777,1867,0.951794322442421
"46","Canada",2020-03-07,54,8,0,46,7,3,1900,1807,1.05146651909242
"47","Canada",2020-03-08,64,8,0,56,8,3,1992,1852,1.0755939524838
"48","Canada",2020-03-09,77,8,1,68,9,3,2022,1809,1.11774461028192
"49","Canada",2020-03-10,79,8,1,70,10,3,1874,1711,1.09526592635885
"50","Canada",2020-03-11,108,8,1,99,11,3,1930,1713,1.1266783420899
"51","Canada",2020-03-12,117,8,1,108,12,3,1834,1769,1.03674392312041
"52","Canada",2020-03-13,193,8,1,184,13,3,1837,1866,0.984458735262594
"53","Canada",2020-03-14,198,8,1,189,14,3,1891,1850,1.02216216216216
"54","Canada",2020-03-15,252,8,1,243,15,3,1957,1767,1.10752688172043
"55","Canada",2020-03-16,415,9,4,402,16,3,1881,1727,1.08917197452229
"56","Canada",2020-03-17,478,9,5,464,17,3,1910,1668,1.14508393285372
"57","Canada",2020-03-18,657,9,8,640,18,3,1895,1559,1.21552277100706
"58","Canada",2020-03-19,800,9,9,782,19,3,1831,1512,1.21097883597884
"59","Canada",2020-03-20,943,9,12,922,20,3,1859,1540,1.20714285714286
"60","Canada",2020-03-21,1277,10,19,1248,21,3,1950,1393,1.39985642498205
