"title","date","link"
"Останні новини","07 квітня 2020","/block-lastnews"
"«Голос» пропонує зміни до постанови уряду про посилення карантину","07 квітня 2020","/rubric-polytics/3000642-golos-proponue-zmini-do-postanovi-uradu-pro-posilenna-karantinu.html"
"У робочій підгрупі ТКГ не домовилися про нове розведення сил на Донбасі","06 квітня 2020","/rubric-polytics/3000572-u-robocij-pidgrupi-tkg-ne-domovilisa-pro-nove-rozvedenna-sil-na-donbasi.html"
"НАЗК внесло припис Баканову","06 квітня 2020","/rubric-polytics/3000542-nazk-vneslo-pripis-bakanovu.html"
"Поляков пояснив, навіщо вніс 6 тисяч «банківських» поправок","04 квітня 2020","/rubric-polytics/3000414-polakov-poasniv-naviso-vnis-6-tisac-bankivskih-popravok.html"
"""Голос"" направив до Мінфіну та бюджетного комітету ВР свої пропозиції","03 квітня 2020","/rubric-polytics/3000370-golos-napraviv-do-minfinu-ta-budzetnogo-komitetu-vr-svoi-propozicii.html"
"Венедіктова заявляє, що із Портновим має протилежну думку у багатьох речах","03 квітня 2020","/rubric-polytics/3000297-venediktova-zaavlae-so-iz-portnovim-mae-protileznu-dumku-u-bagatoh-recah.html"
"""Євросолідарність"" пропонує альтернативний проєкт змін до бюджету","02 квітня 2020","/rubric-polytics/3000289-evrosolidarnist-proponue-alternativnij-proekt-zmin-do-budzetu.html"
"Депутати вже 33 рази намагалися скасувати ухвалені закони – КВУ","07 квітня 2020","/rubric-polytics/3000243-deputati-vze-33-razi-namagalisa-skasuvati-uhvaleni-zakoni-kvu.html"
"Венедіктова: Єрмак дійсно пропонував людей на посади заступників генпрокурора","07 квітня 2020","/rubric-polytics/3000229-venediktova-ermak-dijsno-proponuvav-ludej-na-posadi-zastupnikiv-genprokurora.html"
"Раді хочуть запропонувати ""турборежим"" для правок у законопроєкти - по 30 секунд на кожну","06 квітня 2020","/rubric-polytics/3000212-radi-hocut-zaproponuvati-turborezim-dla-pravok-u-zakonoproekti-po-30-sekund-na-koznu.html"
"Комітет ВР може взятися за ""банківські"" поправки в середу-четвер – депутат","06 квітня 2020","/rubric-polytics/3000209-komitet-vr-moze-vzatisa-za-bankivski-popravki-v-sereducetver-deputat.html"
"Разумков спростував інформацію про опозиційне крило у “Слузі народу""","04 квітня 2020","/rubric-polytics/3000157-razumkov-sprostuvav-informaciu-pro-opozicijne-krilo-u-sluzi-narodu.html"
"Венедіктова вважає дії Федини неприйнятними: Не уявляю, що таке могло б статися у США","03 квітня 2020","/rubric-polytics/3000152-venediktova-vvazae-dii-fedini-neprijnatnimi-ne-uavlau-so-take-moglo-b-statisa-u-ssa.html"
"Венедіктова не виключає витоку інформації у справі Лероса","03 квітня 2020","/rubric-polytics/3000113-venediktova-ne-viklucae-vitoku-informacii-u-spravi-lerosa.html"
"Офіс Пристайка координуватиме надання гуманітарної допомоги Україні","02 квітня 2020","/rubric-polytics/3000094-ofis-pristajka-koordinuvatime-nadanna-gumanitarnoi-dopomogi-ukraini.html"
"Останні новини","07 квітня 2020","/block-lastnews"
"Помпео подякував Зеленському за допомогу у поверненні американців додому","07 квітня 2020","/rubric-polytics/3000074-pompeo-podakuvav-zelenskomu-za-dopomogu-u-povernenni-amerikanciv-dodomu.html"
"Протокол про Консультативну раду не є міжнародно-правовим документом – Кулеба","06 квітня 2020","/rubric-polytics/2913561-protokol-pro-konsultativnu-radu-ne-e-miznarodnopravovim-dokumentom-kuleba.html"
"Герус не чув, щоб хтось пропонував іншого керівника Нафтогазу крім Коболєва","06 квітня 2020","/rubric-polytics/2913555-gerus-ne-cuv-sob-htos-proponuvav-insogo-kerivnika-naftogazu-krim-koboleva.html"
"Зеленський: Молимося за здоров'я Бориса Джонсона","04 квітня 2020","/rubric-polytics/2913553-zelenskij-molimosa-za-zdorova-borisa-dzonsona.html"
"Герус прогнозує призначення міністра енергетики вже цього тижня","03 квітня 2020","/rubric-polytics/2913544-gerus-prognozue-priznacenna-ministra-energetiki-ta-zahistu-dovkilla-uze-cogo-tizna.html"
"Росія має відкрити доступ до окупованої території Донбасу – Держдеп США","03 квітня 2020","/rubric-polytics/2913524-rosia-mae-vidkriti-dostup-do-okupovanoi-teritorii-donbasu-derzdep-ssa.html"
"Разумков сказав, коли може відбутися наступне позачергове засідання Ради","02 квітня 2020","/rubric-polytics/2913511-razumkov-skazav-koli-moze-vidbutisa-nastupne-pozacergove-zasidanna-radi.html"
"Пристайко відповідатиме за міжнародну комунікацію щодо допомоги у боротьбі з Covid-19","07 квітня 2020","/rubric-polytics/2913470-pristajko-vidpovidatime-za-miznarodnu-komunikaciu-sodo-dopomogi-u-borotbi-z-covid19.html"
"МЗС вимагає від Росії дослухатися до заклику генсека ООН та припинити вогонь на Донбасі","07 квітня 2020","/rubric-polytics/2913466-mzs-vimagae-vid-rosii-dosluhatisa-do-zakliku-genseka-oon-ta-pripiniti-vogon-na-donbasi.html"
"""Євросолідарність"" вимагає провести позачергову Раду","06 квітня 2020","/rubric-polytics/2913451-evrosolidarnist-vimagae-provesti-pozacergovu-radu.html"
"Катастрофа літака МАУ: Україна направила ноту Ірану щодо заяв депутата","06 квітня 2020","/rubric-polytics/2913446-katastrofa-litaka-mau-ukraina-napravila-notu-iranu-sodo-zaav-deputata.html"
"Політолог каже, що ""нормандська зустріч"" у найближчі два місяці не відбудеться","04 квітня 2020","/rubric-polytics/2913444-politolog-kaze-so-normandska-zustric-u-najblizci-dva-misaci-ne-vidbudetsa.html"
"Конституційний Суд пропонують перенести до Харкова - законопроєкт","03 квітня 2020","/rubric-polytics/2913437-konstitucijnij-sud-proponuut-perenesti-do-harkova-zakonoproekt.html"
"Суд відкрив справу за позовом Тарути до НАЗК","03 квітня 2020","/rubric-polytics/2913419-sud-vidkriv-spravu-za-pozovom-taruti-do-nazk.html"
"Першим у Раді зібрався онлайн комітет із соцполітики","02 квітня 2020","/rubric-polytics/2913407-komitet-radi-z-socpolitiki-vperse-zibravsa-onlajn.html"
"Останні новини","07 квітня 2020","/block-lastnews"
"Конституційний Суд пропонують перенести до Харкова - законопроєкт","07 квітня 2020","/rubric-polytics/2913437-konstitucijnij-sud-proponuut-perenesti-do-harkova-zakonoproekt.html"
"Суд відкрив справу за позовом Тарути до НАЗК","06 квітня 2020","/rubric-polytics/2913419-sud-vidkriv-spravu-za-pozovom-taruti-do-nazk.html"
"Першим у Раді зібрався онлайн комітет із соцполітики","06 квітня 2020","/rubric-polytics/2913407-komitet-radi-z-socpolitiki-vperse-zibravsa-onlajn.html"
"Підписаний 11 березня у Мінську протокол не легітимізує  ОРДЛО - Зеленський","04 квітня 2020","/rubric-polytics/2913404-pidpisanij-11-berezna-u-minsku-protokol-ne-legitimizue-ordlo-zelenskij.html"
"Україна стала співавтором нової резолюції ООН щодо протидії COVID-19","03 квітня 2020","/rubric-polytics/2913390-ukraina-stala-spivavtorom-novoi-rezolucii-oon-sodo-protidii-covid19.html"
"Україна приєдналася до санкцій ЄС проти Сирії","03 квітня 2020","/rubric-polytics/2913380-ukraina-priednalasa-do-sankcij-es-proti-sirii.html"
